"component","CD4","CD14"
"age",0.00191963086585427,0.00385694457770287
"batch",2.26422583060353e-11,0
"individual_id",0.171532409944931,0.0553089641840628
"Residuals",0.822787473263536,0.9364979677008
"sex",9.66688576683715e-11,0
