"component","median_variance","mean_variance","probes_above_50_percent","percent_probes_above_50"
"cell_type",0.487774329580703,0.473941363533141,10457,48.7233249464169
"Residuals",0.434292321472224,0.442081129922125,8950,41.70161215171
"individual_id",0.0527609443181705,0.0801459150959435,47,0.21899170627155
"age",0.000414011035789813,0.00151243074228309,0,0
"sex",2.83201413669259e-12,0.00226844826896776,5,0.0232969900288883
"batch",0,5.07124375403515e-05,0,0
