"component","median_variance","mean_variance","probes_above_50_percent","percent_probes_above_50"
"cell_type",0.490134625919486,0.475424281600373,10516,48.9982294287578
"Residuals",0.433624326770474,0.442127409026271,8951,41.7062715497158
"individual_id",0.0531979613556737,0.0809381504654022,56,0.260926288323549
"age",0.000356010098382776,0.00144300568835221,0,0
"sex",3.39559006097627e-12,1.23600267191424e-05,0,0
"batch",0,5.47931928829303e-05,0,0
