"component","median_variance","mean_variance","probes_above_50_percent","percent_probes_above_50"
"Residuals",0.822787473263536,0.805198070322092,20717,96.5377446411929
"individual_id",0.171532409944931,0.18806537069042,610,2.84249767008388
"age",0.00191963086585427,0.00650370764618202,0,0
"sex",9.66688576683715e-11,0.000189666364206464,0,0
"batch",2.26422583060353e-11,4.31849770986765e-05,0,0
