"component","median_variance","mean_variance","probes_above_50_percent","percent_probes_above_50"
"Residuals",0.9364979677008,0.882332918073237,20931,97.5258596589321
"individual_id",0.0553089641840628,0.108908111477302,460,2.14332308265772
"age",0.00385694457770287,0.00637975060454028,0,0
"batch",0,6.48764306991048e-05,0,0
"sex",0,0.00231434341422012,8,0.0372751840462212
