"","batch","cell_type","individual_id","sex","age","Residuals"
"7896740",2.68466357087239e-10,0.147499594219859,0.105721918551354,3.12610505519715e-11,0.000377150667809167,0.74640133626125
"7896742",0,0.357317004235407,0.193904448504906,1.91346594342877e-13,0.001007991233759,0.447770556025737
"7896744",0,0,0.158893134257505,2.96652586144748e-12,0.00476663616710986,0.836340229572418
"7896754",0,0.294835223710796,0.233419649249545,2.57079024143246e-13,2.15855143059064e-06,0.471742968487971
"7896756",0,0.479034877432233,0.0800997452981156,8.07215817274666e-11,0.0019765844951335,0.438888792693796
"7896759",0,0.756530701914613,0.0250413117717583,2.68038649715144e-13,0.000598555898996382,0.217829430414364
"7896761",0,0.59722170981346,0.0429406773970034,1.23058548674342e-13,8.08554306364075e-05,0.359756757358777
"7896779",0,0.728162671442593,0.0561925089214574,1.22084059743737e-13,3.96149305587318e-06,0.215640858142771
"7896798",0,0.619759708833638,0.0547586109257499,7.46520180752857e-15,0.00281802335032823,0.322663656890277
"7896817",0,0.58501857953469,0.0849817625218369,1.32469976625457e-13,0.000129653289696734,0.329870004653644
"7896822",0,0.638621669915866,0.0818571480895085,2.73652614948287e-11,3.09780316946317e-05,0.279490203935566
"7896859",0,0.27961031787856,0.0950684633315182,3.57765382568633e-13,0.000518807202392512,0.624802411587172
"7896861",0,0.5367496724096,0.0318083726663602,1.00289125181418e-10,0.00109811477937365,0.430343840044377
"7896863",0,0.504441392848262,0.0499654997535201,2.6874829140168e-13,0.000277967686286382,0.445315139711663
"7896865",0,0.510040154961287,0.0299471150534717,2.72408743978162e-13,0.000658666708783102,0.459354063276186
"7896878",0,0.38586885652873,0.144207051823202,1.69699180784424e-13,0.00136255749116949,0.468561534156728
"7896882",3.83044113084343e-41,0.422415116711354,0.0146524594706677,1.13304253271446e-10,9.77377798983214e-05,0.562834685924776
"7896908",0,0.4168728170032,0.125255162222708,7.61300132105597e-11,0.00260231780201151,0.45526970289595
"7896917",0,1.97623883004987e-09,0.294352988998827,1.48857217170673e-11,0.000146706260120896,0.705500302749927
"7896921",0,0.607560486660516,0.0506047370134852,7.83260227614955e-13,5.91455475527261e-05,0.341775630777663
"7896929",8.8726388143791e-13,0.461596492656708,0.11028936747886,1.36355396462901e-11,4.09991122807576e-05,0.428073140737629
"7896937",0,0.496438065570208,0.0816637793773045,1.28209513927038e-13,0.00137693360660451,0.420521221445755
"7896952",0,0.476800511008232,0.0790968180052609,1.70065113001663e-13,0.00100086279858487,0.443101808187752
"7896961",0,0.389806134173803,0.111417530536898,3.621175004873e-13,0.00195389133938293,0.496822443949554
"7896983",0,0.170796285281924,0.169466449115044,2.92270712558053e-13,0.00175106731964325,0.657986198283097
"7896985",9.98590230706886e-12,0.531023508748499,0.0973570123157163,1.93788940552335e-11,8.1863352572099e-06,0.371611292571163
"7897006",0,0.340193616962367,0.102216903283029,3.20804523370191e-13,0.000128801159768482,0.557460678594515
"7897026",0,0.584115145667924,0,3.03351725660615e-12,0.000839631556654297,0.415045222772389
"7897034",0,0.301901737698897,0.112926474832701,1.42927034739424e-13,0.000129670582308942,0.585042116885951
