"","batch","cell_type","individual_id","sex","age","Residuals"
"7896740",0,0.131143410759878,0.119037011191594,0.000832000779702956,0.000628532814085519,0.74835904445474
"7896742",0,0.339155552659372,0.204539667770205,0,1.66962824160597e-06,0.456303109942181
"7896744",0,0.00171377092999555,0.174881914566955,6.74030142630334e-11,0.00312751049099833,0.820276803944648
"7896754",6.81010769590596e-13,0.283143942949018,0.242777286091632,7.01181050910918e-12,0.000165027872204346,0.473913743079454
"7896756",0,0.478132130541662,0.0766135554084715,0.00488470888287287,0.0011378310397305,0.439231774127263
"7896759",0,0.747858896616952,0.0273543217449605,0,0.000389650589563018,0.224397131048525
"7896761",0,0.602526458227828,0.043430092716092,5.11895610806973e-13,0.000357463906701047,0.353685985148867
"7896779",0,0.728575569332508,0.0567572768431884,0,0.000260130826279648,0.214407022998024
"7896798",4.1996182221046e-13,0.63118835553651,0.0520136813298785,0.000552857396711235,0.00322532661006393,0.313019779126417
"7896817",0,0.595543593317342,0.0822586267308816,0.000755497706999948,0.0011124434855826,0.320329838759194
"7896822",3.43016495934945e-14,0.644348849239239,0.080148062291839,0.00077165837762633,5.26641322405776e-05,0.274678765959021
"7896859",3.36632955533214e-12,0.281594581026786,0.0960282623075246,0,0.00176443186638716,0.620612724795936
"7896861",3.31025099778092e-11,0.540742738840772,0.0156114694036143,0.0344794065643248,0.000285767972661156,0.408880617185526
"7896863",9.3114357611505e-13,0.503574711264495,0.0486427304790098,0.000373359837702171,0.00116546097635333,0.446243737441508
"7896865",0,0.510042986532739,0.0329530940273782,0,0.0012835944695203,0.455720324970363
"7896878",0,0.395684006023601,0.140959395444398,0,0.000129650194831276,0.463226948337169
"7896882",1.08343280928484e-11,0.430512220328738,0.0106130173510752,0.00359416294691177,0.000432745125663892,0.554847854236777
"7896908",3.52234283886729e-13,0.427630764128029,0.12172530954143,0,0.0016078242147461,0.449036102115443
"7896917",1.53592826995004e-17,0,0.309880971099429,0,0.00144769015450425,0.688671338746067
"7896921",0,0.6110019621528,0.0501803483848603,0,3.34221266832103e-05,0.338784267335656
"7896929",0,0.473557911282673,0.106823189836219,0.000756467104102832,0.000602233325903278,0.418260198451102
"7896937",8.33034273758565e-13,0.503626136432738,0.085032585070488,0,0.000187593347456726,0.411153685148484
"7896952",0,0.479196484385303,0.0777511002060662,0,0.000230618536137463,0.442821796872493
"7896961",1.01685213073589e-12,0.401926377214739,0.109957274479345,0,0.000307176879591774,0.487809171425307
"7896983",0,0.183825164107721,0.163499445564471,0.00180810467485562,0.00026266741323717,0.650604618239715
"7896985",4.00302142087321e-13,0.536120771778153,0.0942669085192135,0.00343963037932348,0.000460442009813289,0.365712247313097
"7897006",0,0.344732003705729,0.10411036650645,0,0.000624930814797826,0.550532698973024
"7897026",0,0.584367376538503,3.55024034883021e-12,0,0.0010168412579216,0.414615782200025
"7897034",7.22828208034609e-14,0.310182208181341,0.112022661058445,0,0.000638329474970062,0.577156801285172
"7897044",0,0.627551930734846,0.0725124310097151,0,0.000822331236120042,0.299113307019319
"7897066",0,0.369002654174596,0.0632310866962201,0,0.000154113078963188,0.56761214605022
