"","batch","individual_id","sex","age","Residuals"
"7896740",0,0.0132117231667633,4.66277512024421e-12,7.3195749227418e-05,0.986715081079346
"7896742",7.39174360104155e-12,0.214640776646764,1.41134401066061e-10,0.00315881202631281,0.782200411178397
"7896744",0,0.224026367428751,4.38586373970133e-12,0.0042028275671519,0.771770804999711
"7896754",0,0,0,0.00251648399399264,0.997483516006007
"7896756",1.27081186901101e-10,0.31702750670472,0.0146718334807828,6.38830815618322e-05,0.668236776605854
"7896759",1.29149277272563e-09,0.0552452877855181,3.18189919950189e-09,0.00489867103592735,0.939856036705163
"7896761",0,0.0241740137151186,9.22544043394001e-13,0.00656355586065873,0.9692624304233
"7896779",0,0.0157496679165988,3.62129471191489e-13,0.00927035511777676,0.974979976965262
"7896798",0,0,0,0.0104128748265935,0.989587125173406
"7896817",0,0.0624503774838618,0.00188344180051779,0.0100133518897892,0.925652828825831
"7896822",1.02624745022741e-11,0.27745248104352,7.97469660934397e-11,0.00646577164058196,0.716081747225889
"7896859",0,0.160011889082502,0,0.0044758897153546,0.835512221202143
"7896861",1.92511459838388e-12,0,0.0743239482749265,0.0082890728143232,0.917386978908825
"7896863",0,0,0,0.0093933078768906,0.990606692123109
"7896865",9.2708949331683e-12,0.0807830235698915,1.12184226496572e-10,0.010377515543826,0.908839460764827
"7896878",0,0,0,0.00123222928307988,0.99876777071692
"7896882",0,7.76934947997647e-15,0,0.0146575829196974,0.985342417080295
"7896908",0,0,0,0.00252192869403798,0.997478071305962
"7896917",0,0,0,0.0103130689955816,0.989686931004419
"7896921",9.62277699948781e-11,0.0368198577740074,0,0.00325258073757573,0.959927561392189
"7896929",0,0,0,0.00681048175954456,0.993189518240456
"7896937",4.73048219923165e-11,0.236442365198682,1.40186635872756e-11,0.00242018087180608,0.761137453868188
"7896952",0,0.177125861425071,0,0.000740778229875989,0.822133360345053
"7896961",7.93922194016788e-17,0.2028677809442,0,0.000604792704063633,0.796527426351736
"7896983",0,0.288464875957865,0,0.00289799110810529,0.70863713293403
"7896985",0,0.119112016382071,0.00380716661010294,0.00885617875048311,0.868224638257343
"7897006",0,0,0,0.00638208913892432,0.993617910861076
"7897026",0,0,0,0.0121469588797489,0.987853041120251
"7897034",1.70959796421489e-19,0.297252059042858,0,0.00875151837559111,0.693996422581551
"7897044",0,0.0925801094511167,1.79039357682015e-16,0.00474129669665171,0.902678593852231
"7897066",0,0,0,0.00269642908234768,0.997303570917652
"7897068",0,0.205847216520845,3.01444058419107e-13,0.0681295773745292,0.726023206104324
"7897078",8.67611957907133e-11,0.0319183152998127,0,6.39468950023128e-05,0.968017737718424
"7897089",5.41702413161366e-11,0.0839431025802497,3.71203945020795e-11,0.0109063993192223,0.905150498009237
"7897119",0,0,0,0.00996237714477451,0.990037622855225
"7897128",0,0,0,0.011367655433075,0.988632344566925
"7897132",1.10851048929249e-18,0,0,0.0130901267003921,0.986909873299608
