"","batch","individual_id","sex","age","Residuals"
"7896740",1.72347443768844e-11,0.0984794938191828,2.40875524499494e-11,0.00296315401000426,0.898557352129491
"7896742",2.24360934722569e-11,0.321032379615083,6.50419716682263e-12,0.00413156076984651,0.67483605958613
"7896744",2.75233573972435e-11,0.270614467552756,3.30257142172425e-11,0.00238534648691382,0.727000185899782
"7896754",2.24692906697721e-11,0.357517702175229,5.78286096922493e-10,0.000750870763911,0.641731426460105
"7896756",4.54872325014779e-11,0.0861184898512203,1.05830729609815e-10,0.00805129071956638,0.905830219277895
"7896759",6.42692361671429e-13,0.180041828876317,0,0.0132060482477269,0.806752122875314
"7896761",1.80958025511926e-11,0.525741810052706,1.86098934699298e-11,0.000333115948673877,0.473925073961914
"7896779",2.94037716074809e-11,0.326765081293627,6.17251937972113e-10,0.000794183495327261,0.67244073456439
"7896798",3.07180106078372e-11,0.433471779775263,2.12055207753245e-11,0.00703334213383984,0.559494878038974
"7896817",1.60223403902572e-11,0.438086743420491,2.35868023385461e-11,0.000566997987544574,0.561346258552355
"7896822",1.60445221661217e-11,0.573110972966951,8.62627540784787e-10,0.00517303283538058,0.421715993318996
"7896859",2.73533761595394e-11,0.388223132311584,1.12887561052276e-11,0.00107334380121831,0.610703523848555
"7896861",2.96240732041245e-12,0.198880104104175,2.37229115904712e-08,0.00386248398286023,0.797257388187091
"7896863",3.08836443234597e-11,0.256132529725248,1.00251321159469e-11,3.68367898111418e-06,0.743863786554862
"7896865",2.43679716526257e-11,0.256960298184075,1.77628038044219e-10,2.93344109034778e-06,0.743036768172838
"7896878",3.01414226935524e-13,0.137693409662004,0,0.00480947195003017,0.857497118387665
"7896882",9.09186636909727e-12,0.0940058183423833,4.67255341219791e-09,0.00690999595152877,0.899084181024443
"7896908",4.63778543228753e-13,0.0883041577276341,0,0.0237585462327661,0.887937296039136
"7896917",3.31045093076458e-11,0.303507851020657,1.5221067589278e-09,0.000795233595255478,0.695696913828876
"7896921",2.55181850888837e-11,0.2640331743295,1.53930131444473e-10,0.00162784485006467,0.734338980640987
"7896929",2.80706056672435e-11,0.25185985762624,1.9286071614409e-10,0.000172824600643055,0.747967317552186
"7896937",4.64229331481614e-14,0.0781515088753242,0,0.00639694065046814,0.915451550474161
"7896952",2.07016725305057e-11,0.01067752996252,1.84717897638738e-12,0.00372853844380328,0.985593931571128
"7896961",2.7080013306457e-11,0.299056777873738,3.6158609792828e-10,0.00549423752520695,0.695448984212389
"7896983",3.37807767709892e-11,0.114984357281719,1.72902520237065e-10,0.0076142138671346,0.877401428644463
"7896985",2.06819095926145e-11,0.165096406004066,9.62816933098866e-12,0.000971798408724115,0.8339317955569
"7897006",1.49134809147649e-11,0.211740452762497,1.56666068067079e-11,0.000233588195672457,0.788025959011251
"7897026",1.61264371037406e-11,0,4.58955803726815e-12,9.93922939836469e-06,0.999990060749886
"7897034",4.13899894967965e-11,0.287758209220201,1.34040016959225e-09,0.000694362363656674,0.711547427034352
"7897044",3.80469581160501e-11,0.206098807130079,3.92125387017799e-11,0.00067367705798859,0.793227515734673
"7897066",5.9870902879399e-11,0.154136204481798,2.06016520013417e-10,0.00572667730317499,0.84013711794914
"7897068",3.00572612012297e-13,0.226609918612213,0,0.00152599134463413,0.771864090042852
"7897078",1.69442482064731e-13,0.175246545310607,0,0.000407008497801695,0.824346446191422
"7897089",5.70621786845831e-12,0.507224769848636,2.10645960714136e-09,0.0140411459865115,0.478734082052686
"7897119",1.26124949235523e-11,0.398359355075925,5.41914664925087e-09,8.01293012001991e-05,0.601560510191116
"7897128",2.70780418718083e-11,0.283344406512857,8.49336016630634e-11,7.44367859291873e-06,0.716648149696538
"7897132",4.03976737928588e-11,0.175780655145825,9.04642976291736e-12,0.00204998344823157,0.822169361356499
"7897154",3.02511074812127e-11,0.191718462351991,1.63201753936854e-11,0.000762688738003536,0.807518848863435
"7897172",4.37446913755383e-11,0.278861598900346,2.60940983272166e-11,7.16307771137914e-05,0.721066770252702
"7897179",5.45758813444589e-11,0.148857753938136,3.50577721176182e-11,0.000639153083989264,0.850503092888241
"7897196",2.74312438452405e-11,0.274631713145688,1.55045839557875e-11,0.00737823315751137,0.717990053653865
"7897210",1.12671076973805e-11,0.123985334075452,8.99670941148773e-09,0.000251642750278231,0.875763014166293
"7897227",7.6141548668754e-12,0.487783706148062,4.60374249960278e-09,0.0251621846789619,0.48705410456162
"7897236",9.40870766216238e-12,0.493039821427264,2.36178545594472e-09,0.00457816364879946,0.502382012552742
"7897257",5.83356776771713e-12,0.294363052780809,2.02387518668605e-10,7.52802570563275e-05,0.705561666753913
"7897263",3.2015345531405e-11,0.247682471231061,1.6349413500111e-10,0.010705654676088,0.741611873897342
"7897277",6.39365464840984e-12,0.286476243138765,0,0.00719704490566115,0.70632671194918
"7897280",3.54723198488806e-11,0.428665949340096,2.13377700422514e-11,0.000414000264876085,0.570920050338217
"7897286",3.8681553126751e-11,0.23215422704815,1.13274705409319e-10,0.000100322196189273,0.767745450603705
"7897288",3.69622634217365e-11,0.06783985073678,1.01875352354859e-11,1.78059356529058e-05,0.932142343280417
"7897295",7.31602908360189e-12,0.199497181041702,4.36817337274573e-09,0.0039489227899073,0.796553891792901
"7897305",3.64447533728807e-11,0,7.83027301916464e-12,0.0152392812877797,0.984760718667945
"7897322",3.83649029068527e-11,0.43836878628355,8.11917406139743e-10,1.91948930487796e-06,0.561629293376863
"7897329",2.7182517294164e-11,0.407627547406818,2.94697023968772e-11,0.00709358061897964,0.585278871917551
"7897339",8.69796750850026e-12,0,1.21673597202625e-08,0.0192621241458141,0.980737863678128
"7897370",1.74121272374421e-11,0.387417128945805,6.45455688014751e-09,0.025740298833334,0.586842565748892
"7897378",2.63204674245685e-06,0.126749165313132,0.0462227387777362,0.000534411313435731,0.826491052548954
"7897404",1.261132534946e-11,0.182351553730819,8.7587713974508e-09,0.00221837165915031,0.815430065838648
